"week_start","KW","year","KW_Y","TS_NaturalDisasters_norm","TS_NaturalDisasters_gt","TS_EUPolitics_norm","TS_EUPolitics_gt","TS_USPolitics_norm","TS_USPolitics_gt","TS_MilitaryGeopolitics_norm","TS_MilitaryGeopolitics_gt","TS_UkraineWar_norm","TS_UkraineWar_gt","TS_EURightwing_norm","TS_EURightwing_gt","TS_Diplomacy_norm","TS_Diplomacy_gt","TS_IsraelGaza_norm","TS_IsraelGaza_gt","TS_ClimateFires_norm","TS_ClimateFires_gt","TS_Accidents_norm","TS_Accidents_gt","TS_Elections_norm","TS_Elections_gt","NYT_AsiaGeopolitics_norm","NYT_AsiaGeopolitics_gt","NYT_UkraineWar_norm","NYT_UkraineWar_gt","NYT_CrimeJustice_norm","NYT_CrimeJustice_gt","NYT_Accidents_norm","NYT_Accidents_gt","NYT_SyriaPolitics_norm","NYT_SyriaPolitics_gt","NYT_GlobalLeaders_norm","NYT_GlobalLeaders_gt","NYT_EconomicCrisis_norm","NYT_EconomicCrisis_gt","NYT_IsraelGaza_norm","NYT_IsraelGaza_gt","NYT_ReligionCulture_norm","NYT_ReligionCulture_gt"
2024-06-02,22,2024,"KW_22_2024",26.8637426319803,11.4,17.3860398977473,21,21.8660532067292,1,31.3870723584674,22.5,14.9399949453486,28,19.22351535907,10.4,41.9941511638103,11.8,26.6760525020662,23.75,22.5835027472886,11.6666666666667,16.1545362342294,6.6,28.6525190582388,2.5,49.2722871864684,7.6,59.5891764848683,10.75,41.0598906615796,12,60.4438289186481,27.2,20.5370555087231,2.2,34.584824467483,3.4,50.0446829883741,9.2,51.5600978716047,14.25,14.9904892542372,12
2024-06-09,23,2024,"KW_23_2024",34.5552360832158,5.6,53.4231643461066,29.4,21.535759843478,1,26.1721362716184,19.75,39.9173838156689,26.6,63.6417335170228,25.6,37.5970079250325,15,44.0909611713141,21.25,38.4293888333266,17,41.3126935665823,6.4,32.9373208013847,8.25,73.0038694711149,7.2,58.6824157223422,12,51.3755846948741,12,57.7191276465907,29.2,20.6089762565243,2.2,35.5558840278626,2.6,63.7144395340405,10,63.974571061175,14.75,20.3545664838839,14.2
2024-06-16,24,2024,"KW_24_2024",61.2964802092058,5.2,77.052855742368,19.8,21.3539003701184,0.6,57.8894967524797,21.25,39.5081933581077,27,27.6150667040091,9,36.7761753967395,10.2,39.2915103829949,14.5,53.0169148124251,17.6666666666667,25.3413223635831,6.8,20.1203864135507,0.5,76.6907123635777,24.4,53.3217966813734,16,31.0180026857772,10.6,56.8556071673575,32.8,20.0909693969764,1.8,24.0858426994618,2.4,50.9973974253396,8,34.9420375937239,12.75,18.5106463280086,11.4
2024-06-23,25,2024,"KW_25_2024",46.5436420763513,5.6,63.7463768822508,19.2,26.1969597640095,2.6,30.6919268469669,17.75,25.8962918932681,22.2,36.6552751995302,7.8,61.1901717628609,12.2,25.0344544177128,14.25,51.6368031690195,17,28.9541128407944,7.2,48.3573934048517,0.5,35.3198228354774,14.2,44.1397183225725,15,45.8305514099277,15.2,58.7140386832615,28,18.3805114440381,1.8,34.4066945720227,4.8,71.8527436089292,10.8,30.2226151426966,11.5,18.7583182526362,11.8
2024-06-30,26,2024,"KW_26_2024",73.0000810660219,6.6,34.552904136238,13.2,38.6366594816235,2.4,21.770262061134,16.75,23.5128703767686,17.8,56.6071424664076,8.2,70.2114049211915,13,16.8543230124977,11.5,42.4598161109858,18.6666666666667,18.64770548323,5.8,74.1580731602958,1,32.7804000741329,5.8,36.7510747826851,10,42.7786677988484,26.8,50.7738014902256,29.4,21.379492899594,1.8,30.2975392608917,3.8,58.329053577753,8.2,33.2062044101899,9,15.8799044443891,10.8
2024-07-07,27,2024,"KW_27_2024",70.5151400818287,6.2,73.3433993005355,14.4,41.6902655479218,3,40.5242115718233,26.75,51.0221672181566,21.4,78.901947404663,8,62.2284752669038,11.8,35.5067099050627,14.5,55.2372147742064,18.6666666666667,28.724993433599,7.2,36.1544767430653,1,37.7040169622353,6.2,48.6057692805507,18,41.2077048273748,11.2,64.7108061348636,27.2,20.0362878915844,1.8,38.3722713717225,9.2,76.736385376169,10.6,35.9891111174703,9.5,10.5101566965422,11.4
2024-07-14,28,2024,"KW_28_2024",34.0005717867739,5.4,48.0977753246803,33,69.5322069353725,11.8,28.3116824796444,16.75,19.0314446716999,17.8,17.091538497081,6.4,40.8791956407483,9.2,21.194005429195,13.75,57.2202529543887,17,20.8339123367629,6,50.5603855199528,0.5,43.7360159629735,5.6,46.8805823472596,12.5,44.7512186759606,11,54.9101335796185,25.6,21.4402002254305,1.8,32.7337984605644,22.2,65.4522560864557,9,30.7834241123521,7.75,14.3153172747828,10.4
2024-07-21,29,2024,"KW_29_2024",58.4022798429191,5.6,48.2369186702797,17.6,100,6.4,51.4097492938161,15.5,24.5867948639758,17.4,20.0836078972418,6.6,47.9039605406428,10.4,31.5833046694064,15,82.7863495191142,20.6666666666667,37.7949345716786,10.4,93.1715973330685,0.5,43.7084775203694,7.2,43.5996467703198,10.5,41.3437806683465,10.2,61.4010461599775,34.4,13.9977030810419,1.8,22.2015047149191,7.8,75.1931857106734,10.2,34.1833313251768,13.25,11.7275551066033,10.6
2024-07-28,30,2024,"KW_30_2024",46.2684120924087,4.8,27.7838910170514,13.6,31.7510180486512,1.8,44.1314086694742,17.25,41.5202884526016,17.8,24.7338361795953,6,41.3859851722957,9.6,100,34.5,78.8372159385978,23.3333333333333,26.3840538356404,12.8,56.8084920717215,0.5,40.2274406851282,5.2,58.851608473726,13,64.6887294931994,9.4,60.3891588033222,28,29.8185113533118,2.4,33.3840347296791,6.4,64.647896777992,10.2,54.1237525272175,21,16.8987349622013,11.8
2024-08-04,31,2024,"KW_31_2024",54.4881633699824,5.4,27.470078140506,13.8,19.3477625918297,1.6,32.6688700596269,15,53.3223922317699,21.6,27.1381365463568,6.2,68.4839495478828,9.6,46.6261830656647,25.25,59.1730002254318,19.6666666666667,34.1363925279044,22.4,47.866951713279,0.25,46.6048521080416,5.2,70.4113174179905,12.25,37.1563811599586,8.4,67.9067249814806,31.2,19.5826646002452,3,25.4113614865646,4.2,69.687437264243,15.4,46.6062403141364,13.5,14.2450288681326,11.2
