"week_start","TS_NaturalDisasters_norm_cov","TS_NaturalDisasters_gt","TS_EUPolitics_norm_cov","TS_EUPolitics_gt","TS_USPolitics_norm_cov","TS_USPolitics_gt","TS_MilitaryGeopolitics_norm_cov","TS_MilitaryGeopolitics_gt","TS_UkraineWar_norm_cov","TS_UkraineWar_gt","TS_EURightwing_norm_cov","TS_EURightwing_gt","TS_Diplomacy_norm_cov","TS_Diplomacy_gt","TS_IsraelGaza_norm_cov","TS_IsraelGaza_gt","TS_ClimateFires_norm_cov","TS_ClimateFires_gt","TS_Accidents_norm_cov","TS_Accidents_gt","TS_Elections_norm_cov","TS_Elections_gt","NYT_Diplomacy_norm_cov","NYT_Diplomacy_gt","NYT_AsiaGeopolitics_norm_cov","NYT_AsiaGeopolitics_gt","NYT_UkraineWar_norm_cov","NYT_UkraineWar_gt","NYT_IntLawCourts_norm_cov","NYT_IntLawCourts_gt","NYT_CrimeJustice_norm_cov","NYT_CrimeJustice_gt","NYT_Accidents_norm_cov","NYT_Accidents_gt","NYT_SyriaPolitics_norm_cov","NYT_SyriaPolitics_gt","NYT_GlobalLeaders_norm_cov","NYT_GlobalLeaders_gt","NYT_EconomicCrisis_norm_cov","NYT_EconomicCrisis_gt","NYT_IsraelGaza_norm_cov","NYT_IsraelGaza_gt","NYT_ReligionCulture_norm_cov","NYT_ReligionCulture_gt","NYT_Venezuela_norm_cov","NYT_Venezuela_gt"
2024-08-11,56.6472047542261,6.2,15.0666466775507,14.4,17.9963990411961,1.6,32.757609585218,16.25,63.2840905397019,23.6,19.5080559747938,6.6,29.0270326317119,10.4,44.5353493237642,19,71.3012344258551,27.6666666666667,14.8964097070684,14.8,32.0828467445324,0.5,46.8127155608871,10.4,39.3596436228801,5,76.6763557428412,16.75,54.8316783790593,8.8,29.5954357153518,8.8,37.5744737581021,30.6,11.07725881736,2.8,9.79700718422559,4.2,40.6464384110633,13.2,28.3483718441792,11,13.7226033440847,14,22.0987472122572,4.2
2024-08-18,45.5679579050353,8.6,20.5480852296689,13.4,22.4233757145492,1.6,26.5398645664806,22.5,64.1200670965061,23,28.1636195883244,7,20.6072530476152,9,41.1648829399247,16.75,40.4494106793275,30.6666666666667,37.0627453535397,9.2,42.6579913214123,0.5,29.5222276829872,9,30.8437476073891,14.4,79.9901918984574,14.75,48.7255381693085,11.6,50.9221061630979,11.6,94.4850588995984,28.2,14.9322042798319,2.4,18.975616891172,4.8,91.7431170989483,12.6,40.1828404046166,12,15.0613637504851,12,40.26177268423,4.8
2024-08-25,46.3233616719411,7.8,21.9358569720076,13.2,15.5396947468691,1.2,28.7525314620326,16.25,31.4850399285612,20.8,12.3434347750128,9.8,22.0859941466763,9.8,37.0559506292688,15,42.7705186075514,19.3333333333333,29.6687403622384,14,23.2013414441641,1,17.0769233387093,9.8,39.8462814089714,7,62.9832681275746,12,43.0585739711932,12.4,38.6518393234422,12.4,69.3087121124144,32.6,17.0328077707022,2.6,16.9601555522285,3.8,37.6137944494064,10.2,53.2929130626418,11,11.2588613501136,11.8,22.9481704618007,3.8
2024-09-01,59.6103783454391,7.6,24.9433378940241,13.8,21.6148579433779,1.2,29.7558604372991,17.25,32.5664168391423,25.2,22.4580637641798,11.4,39.3997490019198,13.4,40.0355991139319,15.75,47.9197441098924,31,31.9585823824624,10.6,27.6367061728659,3.75,39.1774299445134,13.4,36.6554674519199,6.6,100,13.25,69.3361500903907,12.6,48.666300807015,12.6,94.6112695326435,29.4,11.1066574963194,2.4,19.1768563126147,3.6,58.6261980136464,10.4,45.9789337792084,13.75,25.6371176093993,12.2,41.6556250324074,3.6
2024-09-08,77.1176463485547,8.6,40.1930764050706,16,19.9874479643405,3.6,26.5463209879483,16.75,26.03459125713,19.2,16.8646133147572,11.4,26.7253626850426,13.8,22.1195554666803,13,27.1711003341208,23.6666666666667,16.6451680666983,11.2,38.6876767239988,0.75,45.8580211851845,13.8,40.8096090142393,8.6,78.9868592490906,18.25,62.4199004686546,14.8,59.2733999048876,14.8,58.981852699533,28,11.6661460289282,2.8,21.4331701586275,6.6,69.0592155339691,14.2,38.1112833207593,7.75,20.2484371154481,13.4,36.4345007899661,6.6
2024-09-15,84.6426385807506,9.4,51.143243302628,19.2,19.0331676724967,2.4,33.4765735328242,18.5,26.4303064765505,19,26.3003062824342,10.8,26.8661487588659,12,55.4027039869233,14.25,50.1172666427664,22.3333333333333,25.2581003233247,25.2,21.2278299961729,1,36.2556489948355,12,32.6248871287033,11.4,56.2345334350373,13,67.2338789793254,15.8,50.7205381332601,15.8,85.3035213312473,29.6,11.9330344748294,3,11.6479069227094,6.8,50.6271344612868,12.2,71.0363093195732,23.75,14.5961392290364,13.2,29.0517431768749,6.8
2024-09-22,52.9514376897767,9.6,34.5920489944172,14.8,27.9974632954568,1.2,34.8119537294695,17,30.4992956965335,21,21.4115271984847,13.2,29.3046132939585,12.8,80.0936863135743,20.25,18.8807734921264,12.6666666666667,25.739097376445,10,27.2270468747308,2.75,51.1835183113651,12.8,47.812120491572,8,68.687354616699,11.25,44.9476661616874,15.6,52.9661014986803,15.6,73.0978648265619,27.2,17.317264363638,3.6,20.6762616764142,4,58.2903535760176,11,100,23.25,21.6541864008822,12.2,27.4720869364102,4
2024-09-29,86.3159165680429,9,25.7998950179686,15.8,19.6702561164201,1.6,49.448635628952,20.75,37.6501335609952,19,66.7658280386832,42.6,32.9280007195572,12.2,100,37.25,43.625314341029,13.3333333333333,29.3155891019492,10,32.695108922517,0.75,30.3086129672739,12.2,36.2305316039552,8.4,51.1663576633744,10.5,31.459213916537,15.2,37.3604701947349,15.2,65.8604119265935,28.2,11.4307831877856,5.2,13.2162442245471,4.6,39.9508734356135,10,84.6418973557352,24,16.5163620227191,12,19.9413341607595,4.6
2024-10-06,94.9075934106612,34.8,32.9926729237742,15.4,17.6742546548171,1.6,24.680637924621,16.75,19.0173964777688,22.2,17.097040773809,9.2,32.5522146247526,14.6,64.1250418935347,35.75,30.0767827546355,12.3333333333333,20.2557987275588,6.8,34.2588830235774,0.5,40.3463169342309,14.6,41.5880417824906,7.6,43.6756116769666,12.75,49.1562054302657,15.2,40.6827664598922,15.2,73.6086980609352,24.8,11.3776469626099,3.2,11.8964785135305,4.2,48.2367842341091,11.4,75.1672506479866,16.5,17.8716761073223,11.8,30.2007583047278,4.2
2024-10-13,45.5702946332929,8.8,68.0238324255888,16.2,16.4423832743805,2.4,61.3759912973244,20.5,24.3453203100484,16.8,16.2053091360123,9,19.155379757214,18,73.0602018100322,31.75,42.5986473025109,15,27.4873771548025,8.8,25.9238449417883,0.75,57.481881273711,18,47.3968888223755,8.6,56.1577704841953,9.75,59.7383391536885,14.4,43.6680409852204,14.4,67.7152129016202,25,15.2944813609585,3,16.5949802395664,5,54.9811001839711,10,71.9668019677037,19,14.021796406265,11.8,30.1797127143364,5
